"","X","yearID","lgID","teamID","franchID","Rank","G","R","AB","H","HR"
"1465",1465,1966,"AL","WS2","TEX",8,159,557,5318,1245,126
"1466",1466,1966,"AL","BOS","BOS",9,162,655,5498,1318,145
"1467",1467,1966,"AL","NYA","NYY",10,160,611,5330,1254,162
"1468",1468,1966,"NL","LAN","LAD",1,162,606,5471,1399,108
"1469",1469,1966,"NL","SFN","SFG",2,161,675,5539,1373,181
"1470",1470,1966,"NL","PIT","PIT",3,162,759,5676,1586,158
"1471",1471,1966,"NL","PHI","PHI",4,162,696,5607,1448,117
"1472",1472,1966,"NL","ATL","ATL",5,163,782,5617,1476,207
"1473",1473,1966,"NL","SLN","STL",6,162,571,5480,1377,108
"1474",1474,1966,"NL","CIN","CIN",7,160,692,5521,1434,149
"1475",1475,1966,"NL","HOU","HOU",8,163,612,5511,1405,112
"1476",1476,1966,"NL","NYN","NYM",9,161,587,5371,1286,98
"1477",1477,1966,"NL","CHN","CHC",10,162,644,5592,1418,140
"1478",1478,1967,"AL","BOS","BOS",1,162,722,5471,1394,158
"1479",1479,1967,"AL","DET","DET",2,163,683,5410,1315,152
"1480",1480,1967,"AL","MIN","MIN",2,164,671,5458,1309,131
"1481",1481,1967,"AL","CHA","CHW",4,162,531,5383,1209,89
"1482",1482,1967,"AL","CAL","ANA",5,161,567,5307,1265,114
"1483",1483,1967,"AL","BAL","BAL",6,161,654,5456,1312,138
"1484",1484,1967,"AL","WS2","TEX",6,161,550,5441,1211,115
"1485",1485,1967,"AL","CLE","CLE",8,162,559,5461,1282,131
"1486",1486,1967,"AL","NYA","NYY",9,163,522,5443,1225,100
"1487",1487,1967,"AL","KC1","OAK",10,161,533,5349,1244,69
"1488",1488,1967,"NL","SLN","STL",1,161,695,5566,1462,115
"1489",1489,1967,"NL","SFN","SFG",2,162,652,5524,1354,140
"1490",1490,1967,"NL","CHN","CHC",3,162,702,5463,1373,128
"1491",1491,1967,"NL","CIN","CIN",4,162,604,5519,1366,109
"1492",1492,1967,"NL","PHI","PHI",5,162,612,5401,1306,103
"1493",1493,1967,"NL","PIT","PIT",6,163,679,5724,1585,91
"1494",1494,1967,"NL","ATL","ATL",7,162,631,5450,1307,158
"1495",1495,1967,"NL","LAN","LAD",8,162,519,5456,1285,82
